ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
4001,30000,2,1,2,29,2,-1,-1,-1,2,0,2030,1533,3897,6978,4081,3686,1533,3897,4081,0,155,96,0
4002,160000,2,1,1,29,-1,-1,-2,-1,-1,-1,1778,0,0,150,150,989,0,0,150,150,989,0,1
4003,200000,1,1,1,35,0,0,0,0,0,0,199891,198608,115177,116226,139737,187728,8500,6000,4000,25000,50000,70000,1
4004,120000,1,3,2,25,0,0,2,0,0,-1,81129,72699,39909,18334,7382,19801,7504,29,10004,6,19824,18129,0
4005,230000,2,1,1,38,0,-1,-1,-1,-1,-1,12907,316,1156,316,316,316,316,1156,316,316,316,316,0
4006,20000,2,3,1,42,-1,-1,-1,-1,-1,-1,10665,637,11869,7312,1868,1470,637,11869,7314,2274,1470,2200,0
4007,10000,1,3,2,46,2,2,3,3,3,3,1050,1050,1050,1050,1050,1050,0,0,0,0,0,0,1
4008,100000,2,3,2,24,1,-2,-2,-2,-1,-1,0,0,0,0,2483,0,0,0,0,2483,0,80,0
4009,130000,2,2,2,24,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
4010,50000,1,2,2,47,0,0,0,0,0,0,91481,47099,47486,24769,23029,23495,3956,1365,848,1000,1000,1000,0
4011,140000,2,3,2,31,0,0,0,0,0,0,92636,94641,96667,98883,79972,81642,3500,3600,3900,3000,3000,3200,0
4012,50000,1,2,2,49,0,0,0,0,0,0,47864,99572,50396,9430,9638,9801,3473,2294,328,350,323,312,0
4013,360000,1,1,2,29,-2,-2,-2,-2,-2,-2,3206,2347,3770,3466,1630,2931,2358,3788,3483,1638,2946,16950,0
4014,20000,2,2,2,22,4,3,2,2,2,2,19529,18937,18335,19530,19076,20444,0,0,1500,0,1700,0,1
4015,110000,2,2,2,33,0,0,0,0,0,0,107028,106818,108730,112035,48492,43413,4000,3783,6488,4850,2000,6446,0
4016,100000,1,2,2,33,5,4,3,2,2,2,90822,88562,86256,87150,85636,91007,0,0,3200,0,6803,6950,1
4017,260000,2,1,1,39,0,0,0,0,0,0,256557,188370,186778,184132,189947,89016,6726,6637,7784,10000,3500,3434,0
4018,50000,2,1,2,23,0,0,0,0,0,0,46750,45985,26675,16948,16303,18019,1505,2000,592,604,2000,2000,0
4019,360000,2,2,1,39,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
4020,30000,2,2,1,27,2,2,2,2,2,2,27896,26835,28690,27633,29184,28776,0,2659,0,2309,1087,0,1
4021,50000,1,2,2,23,0,0,0,0,0,0,49798,50795,50150,9658,10011,9345,2193,2040,330,492,332,500,0
4022,270000,2,2,2,31,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
4023,250000,2,1,1,44,-2,-2,-2,-2,-2,-1,4976,5417,7948,1797,1580,12573,5417,7948,1797,1580,12573,4338,0
4024,250000,1,1,2,48,-2,-1,-1,-1,0,-1,5241,2738,2360,6976,3701,2872,2754,2377,7006,11,2981,0,0
4025,120000,2,2,1,24,1,-2,-2,-2,-1,0,0,0,0,0,4629,5551,0,0,0,4629,1000,1915,0
4026,250000,2,3,2,36,-1,0,0,0,0,0,44242,58876,73068,102311,75543,88283,25000,24000,30000,25000,30000,25000,0
4027,260000,2,2,2,29,-1,-1,-1,-1,-1,-1,1267,553,0,202,11990,3359,553,0,202,11990,3359,1035,0
4028,240000,1,2,1,39,2,0,0,0,0,0,234661,234364,235982,239281,244329,249130,10200,10200,8725,9068,9068,15000,0
4029,60000,2,2,2,27,0,0,0,0,0,0,18224,19928,20939,21291,21734,22184,2000,1648,1000,936,962,3013,0
4030,250000,2,1,1,40,-1,-1,-1,0,-1,-1,326,326,652,326,326,326,326,652,0,326,326,326,1
4031,100000,2,2,2,26,0,0,0,0,0,0,98542,82569,87486,84536,76008,69865,3326,8003,2745,2689,2896,2731,0
4032,150000,2,1,2,35,1,-1,-1,-2,-2,-1,0,1070,-240,-240,-240,390,1070,0,0,0,1170,390,0
4033,170000,2,1,1,45,0,0,0,0,0,0,165243,156688,151405,127090,126388,126399,7067,6443,4617,4711,4673,4603,0
4034,710000,2,1,2,32,0,0,0,0,0,0,28585,31719,34854,35774,35524,35047,3561,3696,1616,3024,5011,2011,0
4035,20000,1,2,1,50,0,0,0,0,2,0,6620,7556,8570,10020,9715,10153,1200,1300,1600,0,600,600,0
